Order_ID,Product,Category,Quantity,Price,Order_Date,Total_Amount,Month
1,Monitor,Electronics,5,1405,2024-03-15,7025,2024-03
2,Laptop,Electronics,3,2427,2024-01-02,7281,2024-01
3,Laptop,Electronics,4,2999,2024-02-29,11996,2024-02
4,Mouse,Accessories,2,3306,2024-03-08,6612,2024-03
5,Tablet,Electronics,3,3462,2024-04-20,10386,2024-04
6,Monitor,Electronics,3,4234,2024-01-16,12702,2024-01
7,Monitor,Electronics,2,1004,2024-01-09,2008,2024-01
8,Laptop,Electronics,4,3257,2024-01-20,13028,2024-01
9,Monitor,Electronics,2,4833,2024-01-26,9666,2024-01
10,Monitor,Electronics,5,1616,2024-02-25,8080,2024-02
11,Monitor,Electronics,4,1949,2024-04-18,7796,2024-04
12,Mouse,Accessories,3,4835,2024-01-22,14505,2024-01
13,Mouse,Accessories,3,1648,2024-02-12,4944,2024-02
14,Keyboard,Accessories,3,2503,2024-01-05,7509,2024-01
15,Monitor,Electronics,4,997,2024-02-07,3988,2024-02
16,Tablet,Electronics,2,4663,2024-04-04,9326,2024-04
17,Laptop,Electronics,5,4634,2024-03-24,23170,2024-03
18,Keyboard,Accessories,1,875,2024-04-26,875,2024-04
19,Tablet,Electronics,3,1692,2024-04-07,5076,2024-04
20,Keyboard,Accessories,1,2522,2024-02-28,2522,2024-02
21,Keyboard,Accessories,1,4566,2024-02-17,4566,2024-02
22,Keyboard,Accessories,2,3028,2024-03-24,6056,2024-03
23,Mouse,Accessories,1,1012,2024-03-25,1012,2024-03
24,Laptop,Electronics,2,4492,2024-01-06,8984,2024-01
25,Mouse,Accessories,5,1316,2024-04-08,6580,2024-04
26,Laptop,Electronics,3,4124,2024-02-14,12372,2024-02
27,Mouse,Accessories,2,1819,2024-03-16,3638,2024-03
28,Tablet,Electronics,3,2279,2024-03-09,6837,2024-03
29,Laptop,Electronics,1,667,2024-01-17,667,2024-01
30,Tablet,Electronics,5,3234,2024-03-26,16170,2024-03
31,Laptop,Electronics,2,3649,2024-04-05,7298,2024-04
32,Tablet,Electronics,3,3575,2024-04-18,10725,2024-04
33,Keyboard,Accessories,1,3605,2024-02-20,3605,2024-02
34,Mouse,Accessories,3,1612,2024-04-13,4836,2024-04
35,Monitor,Electronics,2,1949,2024-02-14,3898,2024-02
36,Mouse,Accessories,3,4280,2024-02-11,12840,2024-02
37,Monitor,Electronics,3,4861,2024-03-11,14583,2024-03
38,Monitor,Electronics,1,2612,2024-04-13,2612,2024-04
39,Keyboard,Accessories,5,3938,2024-03-31,19690,2024-03
40,Monitor,Electronics,1,4599,2024-01-27,4599,2024-01
41,Monitor,Electronics,1,1178,2024-01-10,1178,2024-01
42,Tablet,Electronics,5,3625,2024-04-06,18125,2024-04
43,Tablet,Electronics,2,935,2024-02-09,1870,2024-02
44,Monitor,Electronics,3,1893,2024-01-10,5679,2024-01
45,Mouse,Accessories,2,3773,2024-02-09,7546,2024-02
46,Monitor,Electronics,3,1361,2024-02-22,4083,2024-02
47,Tablet,Electronics,5,3885,2024-02-01,19425,2024-02
48,Tablet,Electronics,5,3488,2024-03-02,17440,2024-03
49,Tablet,Electronics,1,2061,2024-04-06,2061,2024-04
50,Mouse,Accessories,2,3111,2024-03-13,6222,2024-03
